time,e1,e2,r1,r2,tau1,tau2
0.4150346,-0.1050148,7.304549e-05,-0.7437394,-0.059125602,-6.2688026,-1.3313233
0.420035,-0.106101274,-0.00021077693,-0.7440136,-0.05950074,-6.2181454,-1.2995881
0.42503542,-0.10716212,-0.00048942864,-0.74411094,-0.059807733,-6.164893,-1.2666734
0.43003583,-0.108196855,-0.0007626936,-0.7440348,-0.060044907,-6.1090555,-1.232607
0.43503624,-0.109205365,-0.0010303631,-0.74379086,-0.06020946,-6.050761,-1.1974452
0.44003668,-0.11018741,-0.0012921914,-0.743384,-0.060298376,-5.990136,-1.1612439
0.4450371,-0.11114299,-0.0015479922,-0.74282014,-0.060308814,-5.927313,-1.124061
0.4500375,-0.11207187,-0.0017974898,-0.7421038,-0.06023731,-5.862423,-1.0859559
0.45503792,-0.11297393,-0.0020404533,-0.74124,-0.060080446,-5.7956,-1.0469857
0.46003833,-0.113849044,-0.0022765994,-0.7402333,-0.0598343,-5.7269764,-1.0072112
0.46503875,-0.11469746,-0.00250566,-0.7390902,-0.05949509,-5.656691,-0.9666912
0.47003916,-0.11551893,-0.0027273595,-0.73781437,-0.059058756,-5.584874,-0.9254847
0.4750396,-0.11631346,-0.00294137,-0.7364105,-0.058520913,-5.511665,-0.88365304
0.48004,-0.117081046,-0.0031474084,-0.73488307,-0.057877168,-5.437257,-0.841268
0.48504043,-0.11782193,-0.0033451319,-0.7332374,-0.057123482,-5.3617167,-0.79837465
0.49004084,-0.118536115,-0.003534183,-0.7314774,-0.05625485,-5.285178,-0.7550323
0.49504125,-0.119223714,-0.0037142485,-0.7296077,-0.055266425,-5.207769,-0.71129686
0.50004166,-0.11988461,-0.0038848966,-0.7276314,-0.054152712,-5.129618,-0.6672269
0.5050421,-0.12051928,-0.0040457696,-0.7255542,-0.052908465,-5.0508556,-0.6228785
0.5100425,-0.121127725,-0.004196465,-0.72337943,-0.051528215,-4.9716043,-0.5783064
0.5150429,-0.12171006,-0.004336536,-0.7211106,-0.05000639,-4.8919845,-0.5335642
0.5200433,-0.12226653,-0.004465565,-0.71875167,-0.048337266,-4.8121195,-0.48870662
0.5250437,-0.12279737,-0.0045830607,-0.71630645,-0.04651481,-4.7321258,-0.4437845
0.5300442,-0.12330258,-0.004688546,-0.71377707,-0.04453318,-4.652115,-0.39885
0.5350446,-0.123782754,-0.004781574,-0.71116865,-0.04238662,-4.5722,-0.35395032
0.540045,-0.124237895,-0.004861608,-0.7084831,-0.04006888,-4.4925213,-0.3091407
0.54504544,-0.12466812,-0.004928112,-0.70572233,-0.03757423,-4.413147,-0.2644633
0.55004585,-0.12507391,-0.0049805194,-0.7028901,-0.03489627,-4.3341784,-0.21995974
0.55504626,-0.12545538,-0.0050183088,-0.69998825,-0.032029048,-4.255712,-0.17567593
0.5600467,-0.12581289,-0.005040869,-0.6970195,-0.028966114,-4.177846,-0.13165396
0.5650471,-0.12614667,-0.0050476193,-0.6939858,-0.025701404,-4.10067,-0.087932914
0.5700475,-0.12645698,-0.0050379336,-0.6908887,-0.022228628,-4.0242677,-0.04455048
0.5750479,-0.12674403,-0.005011186,-0.6877297,-0.018541679,-3.948726,-0.0015445724
0.5800483,-0.12700808,-0.004966736,-0.68451,-0.014634609,-3.8741238,0.04104966
0.58504874,-0.1272496,-0.0049039125,-0.6812318,-0.010501444,-3.800538,0.0832015
0.59004915,-0.12746859,-0.0048220754,-0.6778946,-0.006136596,-3.7280364,0.12487775
0.59504956,-0.12766552,-0.004720509,-0.67450005,-0.0015342832,-3.6566906,0.16605121
0.60005003,-0.12784064,-0.0045985132,-0.6710484,0.003311023,-3.586562,0.20669574
0.60505044,-0.12799406,-0.0044554323,-0.66753924,0.008404031,-3.517723,0.24678308
0.61005086,-0.12812614,-0.004290536,-0.6639726,0.013749823,-3.4502096,0.28629526
0.61505127,-0.12823713,-0.0041030943,-0.6603484,0.019353002,-3.3840775,0.32521045
0.6200517,-0.12832725,-0.003892392,-0.6566657,0.02521798,-3.3193688,0.3635121
0.6250521,-0.12839675,-0.0036576986,-0.6529237,0.031348765,-3.2561228,0.4011866
0.6300525,-0.12844586,-0.0033982843,-0.6491213,0.037749007,-3.194377,0.4382211
0.6350529,-0.12847471,-0.0031134188,-0.6452565,0.044421762,-3.1341612,0.47460657
0.64005333,-0.12848353,-0.002802372,-0.6413276,0.051369965,-3.0754983,0.51033723
0.64505374,-0.12847257,-0.0024644434,-0.6373329,0.058595628,-3.0184083,0.5454098
