time,e1,e2,em1,em2,r1,r2,rm1,rm2,tau1,tau2,taum1,taum2
47.818985,0.29552007,-0.0150978565,0.35845006,0.04783213,0.19044569,-0.13584083,1.2094646,0.23102319,9.673095,9.175877,9.400576,8.613947
47.823986,0.29590786,-0.014065862,0.20841193,-0.101561785,0.19219142,-0.13704216,0.87248147,-0.11373693,9.645616,9.175836,10.526865,9.815676
47.828987,0.29630864,-0.013073206,0.15250301,-0.15687883,0.19396394,-0.13831118,0.5787518,-0.3982317,9.617563,9.175648,9.157338,8.507111
47.833984,0.29672098,-0.012034893,0.43007946,0.121323586,0.19576198,-0.13947278,1.1749194,0.19520828,9.588795,9.175498,9.797747,9.0436535
47.838985,0.29714334,-0.011014104,0.26970446,-0.038452983,0.1975792,-0.140665,0.6438488,-0.33830947,9.559436,9.1752405,9.802364,9.05652
47.843987,0.29757643,-0.010007501,0.2807753,-0.02680862,0.19941914,-0.1418772,0.99388397,0.004350364,9.529473,9.174869,9.741549,8.90336
47.848988,0.29801965,-0.009040356,0.39167488,0.08461487,0.2012806,-0.14316013,0.83710665,-0.15958709,9.498968,9.174319,9.13475,8.455595
47.85399,0.29847205,-0.008111954,0.16811717,-0.13846684,0.20316106,-0.14451149,0.3926062,-0.60161066,9.46792,9.173578,10.910253,10.327114
47.85899,0.29892766,-0.007179618,0.29203355,-0.0140737295,0.20504808,-0.14584485,0.9520885,-0.031019509,9.436324,9.172722,9.581527,8.7472925
47.863987,0.29938507,-0.006200552,0.17865407,-0.12693155,0.2069413,-0.14707127,0.7256373,-0.25133762,9.4041395,9.171849,9.670069,8.764797
47.868988,0.29984534,-0.005200982,0.24967587,-0.05537045,0.2088399,-0.14825496,0.85814786,-0.1101366,9.371355,9.170889,10.52519,9.903593
47.87399,0.3003049,-0.004171014,0.2404871,-0.063988805,0.2107395,-0.14937368,0.9034715,-0.0577797,9.338038,9.16986,9.445136,8.721426
47.87899,0.30076694,-0.0031161308,0.3977871,0.09390402,0.21264753,-0.15044078,1.0200455,0.07419217,9.304146,9.168746,9.609493,9.08673
47.88399,0.30122697,-0.0019990206,0.320832,0.01760602,0.21455568,-0.15138388,1.0836407,0.14098215,9.269657,9.1676035,9.955887,9.147215
47.888992,0.30168843,-0.00087833405,0.26347172,-0.039095044,0.21647239,-0.1523242,0.6165462,-0.31184304,9.23468,9.166334,10.161598,9.521608
47.89399,0.30214715,0.00029826164,0.28021812,-0.021630764,0.21839172,-0.15315428,0.63147414,-0.28174525,9.199159,9.16501,9.101432,8.402321
47.89899,0.30259955,0.0015290976,0.1514852,-0.14958525,0.22030377,-0.15388948,0.62076515,-0.27919903,9.163111,9.163613,9.290004,8.527934
47.90399,0.3030498,0.0028088093,0.45829165,0.15805066,0.2222203,-0.15454006,1.1691701,0.28868562,9.126505,9.162127,10.402489,9.790182
47.908993,0.30349803,0.004168153,0.28093624,-0.018393636,0.22414282,-0.15504798,0.8472085,-0.023400933,9.089241,9.160584,9.735399,9.108139
47.913994,0.30394435,0.005558014,0.36951995,0.07113361,0.22607338,-0.15551633,0.750494,-0.09562653,9.051477,9.158912,9.288998,8.504298
47.918995,0.3043853,0.007047653,0.518976,0.22163832,0.22800583,-0.15580931,0.9980285,0.16239083,9.013051,9.157182,9.083246,8.442708
