time,e1,e2,em1,em2,r1,r2,rm1,rm2,tau1,tau2,taum1,taum2
0.22501875,-0.07097852,0.04910235,-0.22280467,-0.10272377,-0.61019397,0.20864348,-0.85614944,-0.037311956,-3.4843888,-0.607193,-3.331356,-0.44633737
0.23001917,-0.07331216,0.04966954,-0.20309675,-0.08011504,-0.61696756,0.20072581,-0.52191067,0.2957827,-3.493053,-0.61604744,-3.5228648,-0.6365772
0.23501958,-0.075656295,0.050191443,-0.13734496,-0.011497211,-0.6236504,0.19291994,-0.7483219,0.06824846,-3.500772,-0.62448066,-3.860886,-0.95659137
0.24002,-0.07801056,0.050669074,-0.19131851,-0.06263891,-0.6302482,0.1852459,-0.5640935,0.25140056,-3.5075169,-0.6324402,-3.3189185,-0.45412433
0.24502042,-0.08037424,0.051103532,-0.124278545,0.0071992353,-0.6367651,0.17772178,-0.69164264,0.12284434,-3.5132632,-0.63987815,-3.2462833,-0.41695023
0.25002083,-0.08274686,0.051495995,-0.10655713,0.027685681,-0.64320517,0.17036387,-0.47993124,0.33363768,-3.5179825,-0.6467478,-3.0283015,-0.23957497
0.25502124,-0.08512795,0.05184772,-0.12560415,0.011371538,-0.64957154,0.1631866,-0.7641005,0.048657686,-3.5216486,-0.65300566,-3.3589582,-0.50094026
0.26002166,-0.08751702,0.052160006,-0.25461137,-0.1149343,-0.655867,0.15620276,-0.9816358,-0.1695659,-3.5242362,-0.6586104,-3.3164394,-0.47234347
0.2650221,-0.089913845,0.052434232,-0.22590864,-0.083560616,-0.662094,0.14942363,-0.92052627,-0.10900876,-3.5257206,-0.6635238,-3.6522496,-0.74113715
0.2700225,-0.0923177,0.052671786,0.13974166,0.2847312,-0.6682538,0.14285862,-0.2517091,0.55940336,-3.5260782,-0.66771096,-3.0524724,-0.21177077
0.27502292,-0.09472847,0.052874107,-0.104518056,0.043084495,-0.6743478,0.13651597,-0.6267022,0.18416156,-3.5252852,-0.67113876,-3.524034,-0.695986
0.28002334,-0.09714568,0.05304266,-0.13645196,0.013736367,-0.6803769,0.13040239,-0.61814225,0.19263703,-3.5233202,-0.67377734,-4.0180054,-1.132199
0.28502375,-0.099568725,0.053178933,0.061519146,0.21426678,-0.68634075,0.124523304,-0.35879982,0.45206422,-3.5201623,-0.6755997,-2.8764913,-0.057616055
0.29002416,-0.101997495,0.053284414,-0.21019101,-0.054909106,-0.6922398,0.11888297,-0.6918858,0.11923695,-3.5157917,-0.67658114,-4.348451,-1.4638488
0.29502457,-0.10443139,0.053360604,-0.17242885,-0.014636878,-0.69807327,0.11348449,-0.72961915,0.08193853,-3.5101895,-0.67670006,-3.5804234,-0.6971207
0.30002502,-0.106870055,0.053409018,-0.06832111,0.091957994,-0.7038402,0.10832994,-0.38646692,0.4257033,-3.5033388,-0.6759372,-3.5763998,-0.7737872
0.30502543,-0.10931325,0.053431135,0.11521888,0.2779633,-0.7095399,0.10342031,-0.34507692,0.46788338,-3.4952242,-0.67427576,-3.5095382,-0.6019236
0.31002584,-0.11176062,0.053428445,-0.18376398,-0.018574934,-0.71517104,0.098755844,-0.5855393,0.22838756,-3.4858315,-0.6717017,-3.9916975,-1.1782972
0.31502625,-0.11421156,0.053402424,0.04248786,0.21010189,-0.7207315,0.09433591,-0.33963725,0.47543028,-3.4751458,-0.66820306,-3.1237988,-0.32196295
0.32002667,-0.11666584,0.05335453,-0.118801,0.051219407,-0.72621983,0.09015918,-0.5926231,0.22375593,-3.4631593,-0.66377187,-3.040902,-0.3240084
0.32502708,-0.11912322,0.053286195,0.01502645,0.18743587,-0.7316344,0.0862236,-0.5348698,0.2829882,-3.4498596,-0.6583997,-3.2862792,-0.53344476
0.3300275,-0.121582866,0.053198833,-0.03168869,0.14309305,-0.736972,0.08252663,-0.56837165,0.2511271,-3.4352396,-0.65208316,-3.6595874,-0.8793717
0.33502793,-0.124044776,0.053093836,-0.12142551,0.055713058,-0.7422313,0.07906529,-0.48375827,0.33753824,-3.4192932,-0.6448189,-3.3145447,-0.515777
0.34002835,-0.12650836,0.052972525,-0.12880433,0.05067655,-0.7474096,0.07583588,-0.7503297,0.072915785,-3.4020162,-0.6366079,-3.5651531,-0.78244334
0.34502876,-0.12897325,0.052836247,-0.22868502,-0.04687555,-0.75250447,0.072834656,-0.9565183,-0.13117921,-3.3834052,-0.6274512,-3.3780408,-0.5972024
0.35002917,-0.13143897,0.05268629,-0.34482574,-0.16070053,-0.75751334,0.07005742,-1.2452493,-0.41767853,-3.363461,-0.61735344,-2.868124,-0.26009023
0.35502958,-0.13390505,0.0525239,-0.09023023,0.09619874,-0.7624336,0.067499675,-0.42863914,0.40129414,-3.3421829,-0.60631955,-3.3980498,-0.66104174
0.36003,-0.13637102,0.05235031,-0.1672461,0.021475185,-0.7672626,0.06515699,-0.6233988,0.20902073,-3.3195744,-0.5943577,-3.1918976,-0.42853725
0.3650304,-0.13883662,0.052166697,0.040586352,0.23158963,-0.77199817,0.06302454,-0.61212146,0.2229012,-3.2956412,-0.58147776,-3.2105105,-0.4447096
0.37003085,-0.14130116,0.05197424,-0.18852592,0.004749529,-0.7766374,0.0610976,-1.0106483,-0.17291312,-3.270389,-0.5676898,-3.3084025,-0.4610024
0.37503126,-0.14376438,0.051774014,-0.16279554,0.032742858,-0.7811781,0.05937121,-0.69148105,0.1490683,-3.2438264,-0.5530071,-3.485426,-0.84065646
0.38003168,-0.14622569,0.05156711,-0.24297035,-0.045177497,-0.7856177,0.057840683,-0.9708042,-0.12734564,-3.2159634,-0.5374437,-3.853033,-1.098781
0.3850321,-0.1486845,0.051354587,-0.1227268,0.07731228,-0.78995365,0.0565013,-0.7927104,0.05374451,-3.1868138,-0.52101564,-2.7135684,-0.06589663
0.3900325,-0.15114045,0.05113745,-0.0979799,0.10429804,-0.7941839,0.055348434,-0.74274015,0.10679227,-3.1563914,-0.50374,-3.2865865,-0.61781293
0.3950329,-0.15359306,0.05091667,-0.1780374,0.02647233,-0.7983063,0.054377615,-1.0573967,-0.20471281,-3.1247125,-0.48563528,-3.3293295,-0.55164
0.40003332,-0.15604174,0.05069321,-0.23904037,-0.032305412,-0.8023185,0.053584598,-0.89390045,-0.03799729,-3.091794,-0.46672088,-3.206173,-0.62035924
0.40503377,-0.15848601,0.050467983,-0.1278094,0.08114456,-0.80621874,0.052965313,-0.6839201,0.17526394,-3.057657,-0.4470175,-2.945884,-0.3571391
0.41003418,-0.16092539,0.050241847,-0.2333622,-0.022195004,-0.8100051,0.052515812,-1.162668,-0.30014712,-3.0223231,-0.42654744,-3.149133,-0.5356279
0.4150346,-0.16335928,0.050015688,-0.12754786,0.0858271,-0.8136759,0.052232593,-0.82544744,0.040461004,-2.985814,-0.405333,-3.1480298,-0.5340224
0.420035,-0.16578722,0.049790323,-0.3331858,-0.11760824,-0.81722933,0.05211237,-1.1762604,-0.30691862,-2.9481568,-0.3833989,-2.4845388,0.09346038
